,PET spectra,
Raman shift [1/cm],Counts/sec,
3409.936,-13.719271,
3408.972,-11.714583,
3408.007,-10.489453,
3407.043,-7.7040362,
3406.079,-3.7983072,
3405.115,-0.3217448,
3404.150,1.3388021,
3403.186,-3.815625,
3402.222,-11.794922,
3401.258,-9.536068,
3400.293,-3.6764324,
3399.329,1.6277344,
3398.365,5.7647138,
3397.401,7.3313804,
3396.437,4.0688801,
3395.472,-4.5842447,
3394.508,-8.1768227,
3393.544,-0.87317711,
3392.580,3.835547,
3391.615,3.7158854,
3390.651,4.9822917,
3389.687,5.9957032,
3388.723,4.6483073,
3387.758,4.4680991,
3386.794,10.808073,
3385.830,17.690365,
3384.866,11.067839,
3383.901,3.8813803,
3382.937,7.9356771,
3381.973,10.610156,
3381.009,6.9208331,
3380.045,4.6002603,
3379.080,5.0483074,
3378.116,9.124609,
3377.152,15.504167,
3376.188,17.113802,
3375.223,14.147265,
3374.259,14.45638,
3373.295,16.025,
3372.331,15.509766,
3371.366,14.875781,
3370.402,15.425,
3369.438,16.199739,
3368.474,15.61888,
3367.510,14.072786,
3366.545,12.006771,
3365.581,11.994532,
3364.617,15.327604,
3363.653,16.810156,
3362.688,15.085026,
3361.724,17.780079,
3360.760,23.036589,
3359.796,25.08086,
3358.831,26.075911,
3357.867,24.833073,
3356.903,22.248047,
3355.939,19.216927,
3354.974,17.575911,
3354.010,22.78828,
3353.046,27.88776,
3352.082,26.710546,
3351.118,26.779297,
3350.153,29.949089,
3349.189,30.980339,
3348.225,29.927996,
3347.261,26.95026,
3346.296,23.15638,
3345.332,22.358984,
3344.368,24.728516,
3343.404,27.738411,
3342.439,30.938932,
3341.475,32.429688,
3340.511,32.456642,
3339.547,30.414713,
3338.583,30.882162,
3337.618,37.310024,
3336.654,41.288933,
3335.690,36.879688,
3334.726,33.486851,
3333.761,34.452602,
3332.797,37.746094,
3331.833,43.464062,
3330.869,43.525913,
3329.904,39.344402,
3328.940,38.834373,
3327.976,38.54961,
3327.012,38.811718,
3326.047,40.120182,
3325.083,42.592319,
3324.119,45.807163,
3323.155,49.845703,
3322.191,49.438412,
3321.226,36.677994,
3320.262,30.954166,
3319.298,43.586067,
3318.334,49.797134,
3317.369,46.214844,
3316.405,42.552212,
3315.441,39.905598,
3314.477,41.276302,
3313.512,46.410286,
3312.548,46.945702,
3311.584,42.983852,
3310.620,45.158463,
3309.656,49.046352,
3308.691,45.664192,
3307.727,41.452343,
3306.763,39.281902,
3305.799,38.971615,
3304.834,41.092838,
3303.870,42.729298,
3302.906,41.386066,
3301.942,40.428905,
3300.977,42.395832,
3300.013,45.430599,
3299.049,48.782551,
3298.085,49.928905,
3297.120,48.472267,
3296.156,47.060417,
3295.192,46.223698,
3294.228,45.519791,
3293.264,45.358204,
3292.299,46.807941,
3291.335,48.673306,
3290.371,47.556511,
3289.407,45.311588,
3288.442,44.412632,
3287.478,44.929947,
3286.514,46.996876,
3285.550,48.865234,
3284.585,49.676041,
3283.621,50.620834,
3282.657,51.446095,
3281.693,50.605858,
3280.729,48.884377,
3279.764,50.121353,
3278.800,54.313801,
3277.836,54.314583,
3276.872,51.830467,
3275.907,54.08672,
3274.943,57.215233,
3273.979,54.776302,
3273.015,49.807941,
3272.050,47.539322,
3271.086,46.696095,
3270.122,46.78698,
3269.158,47.508984,
3268.193,47.347527,
3267.229,49.514194,
3266.265,55.415493,
3265.301,59.813282,
3264.337,61.752083,
3263.372,58.709507,
3262.408,52.077213,
3261.444,49.177082,
3260.480,50.459637,
3259.515,51.381382,
3258.551,52.722786,
3257.587,55.705338,
3256.623,59.402084,
3255.658,58.001041,
3254.694,54.99453,
3253.730,54.532944,
3252.766,57.320442,
3251.802,63.959244,
3250.837,68.251434,
3249.873,62.51276,
3248.909,58.147915,
3247.945,63.295704,
3246.980,65.680862,
3246.016,61.159634,
3245.052,57.991405,
3244.088,56.147396,
3243.123,59.779556,
3242.159,67.362236,
3241.195,70.725128,
3240.231,69.70182,
3239.266,70.833855,
3238.302,72.945961,
3237.338,67.776299,
3236.374,60.188282,
3235.410,66.43737,
3234.445,75.750259,
3233.481,78.052605,
3232.517,78.172783,
3231.553,79.706642,
3230.588,82.658981,
3229.624,87.219269,
3228.660,93.180992,
3227.696,99.314453,
3226.731,101.21862,
3225.767,97.860283,
3224.803,99.124092,
3223.839,105.80338,
3222.875,107.3513,
3221.910,104.22747,
3220.946,102.21042,
3219.982,101.36446,
3219.018,99.041145,
3218.053,95.309242,
3217.089,91.14167,
3216.125,87.305466,
3215.161,91.082809,
3214.196,96.085938,
3213.232,92.621223,
3212.268,88.030991,
3211.304,85.384766,
3210.339,83.761848,
3209.375,83.890625,
3208.411,82.373566,
3207.447,75.754425,
3206.483,71.226433,
3205.518,73.087242,
3204.554,76.393623,
3203.590,80.729164,
3202.626,80.379684,
3201.661,73.805206,
3200.697,70.585678,
3199.733,72.01667,
3198.769,75.995575,
3197.804,80.238411,
3196.840,79.86393,
3195.876,74.67878,
3194.912,71.220703,
3193.948,70.418358,
3192.983,69.241013,
3192.019,68.567451,
3191.055,70.977341,
3190.091,74.549088,
3189.126,78.026695,
3188.162,77.930206,
3187.198,69.530342,
3186.234,60.667057,
3185.269,59.332161,
3184.305,62.147137,
3183.341,69.513802,
3182.377,74.694794,
3181.412,75.455727,
3180.448,74.063934,
3179.484,70.402603,
3178.520,70.938675,
3177.556,75.8582,
3176.591,78.224869,
3175.627,77.061722,
3174.663,76.739845,
3173.699,76.085419,
3172.734,74.373825,
3171.770,73.388672,
3170.806,74.418098,
3169.842,75.25,
3168.877,71.26667,
3167.913,67.624611,
3166.949,73.072395,
3165.985,81.712372,
3165.020,81.226303,
3164.056,77.112892,
3163.092,75.590889,
3162.128,74.214714,
3161.164,74.761978,
3160.199,76.40065,
3159.235,79.603645,
3158.271,81.01992,
3157.307,79.746613,
3156.342,82.326691,
3155.378,88.450653,
3154.414,91.569138,
3153.450,90.173569,
3152.485,87.528122,
3151.521,85.239456,
3150.557,88.636978,
3149.593,96.144791,
3148.629,94.789322,
3147.664,90.332939,
3146.700,90.917061,
3145.736,93.506767,
3144.772,91.746223,
3143.807,88.991013,
3142.843,92.731903,
3141.879,97.682686,
3140.915,94.073174,
3139.950,90.231903,
3138.986,94.271355,
3138.022,97.670441,
3137.058,94.294533,
3136.093,88.891144,
3135.129,85.23008,
3134.165,83.918098,
3133.201,85.040497,
3132.237,87.410416,
3131.272,89.452477,
3130.308,89.61927,
3129.344,89.276955,
3128.380,94.808205,
3127.415,106.12591,
3126.451,106.4569,
3125.487,95.398308,
3124.523,92.353775,
3123.558,98.04258,
3122.594,98.57695,
3121.630,92.945572,
3120.666,93.24453,
3119.702,98.250778,
3118.737,97.229294,
3117.773,94.479424,
3116.809,95.169273,
3115.845,97.569923,
3114.880,104.30469,
3113.916,111.49987,
3112.952,114.94883,
3111.988,117.4918,
3111.023,121.96953,
3110.059,126.0789,
3109.095,127.34675,
3108.131,127.6181,
3107.166,128.69844,
3106.202,133.42397,
3105.238,144.48203,
3104.274,155.20352,
3103.310,162.7375,
3102.345,171.05429,
3101.381,181.30273,
3100.417,187.17331,
3099.453,186.52422,
3098.488,186.0556,
3097.524,188.73007,
3096.560,199.12656,
3095.596,217.20833,
3094.631,229.08163,
3093.667,237.2892,
3092.703,254.65195,
3091.739,280.11835,
3090.775,307.31863,
3089.810,336.284,
3088.846,371.41211,
3087.882,411.0401,
3086.918,447.90222,
3085.953,484.85052,
3084.989,529.98633,
3084.025,578.35754,
3083.061,625.48126,
3082.096,672.2818,
3081.132,717.56195,
3080.168,755.7406,
3079.204,778.56195,
3078.239,787.13727,
3077.275,782.16602,
3076.311,764.75702,
3075.347,734.60675,
3074.383,695.47797,
3073.418,652.64191,
3072.454,607.94586,
3071.490,564.33319,
3070.526,525.33813,
3069.561,492.66354,
3068.597,467.06784,
3067.633,448.74869,
3066.669,435.09766,
3065.704,424.68671,
3064.740,413.11603,
3063.776,397.05533,
3062.812,379.18866,
3061.848,359.03488,
3060.883,332.95938,
3059.919,302.43686,
3058.955,273.61356,
3057.991,247.12643,
3057.026,222.1086,
3056.062,200.58359,
3055.098,187.64609,
3054.134,182.74193,
3053.169,178.00951,
3052.205,172.82382,
3051.241,166.08464,
3050.277,159.80144,
3049.312,153.32123,
3048.348,146.56966,
3047.384,140.29897,
3046.420,135.38698,
3045.456,132.65625,
3044.491,131.50247,
3043.527,130.74635,
3042.563,129.23894,
3041.599,124.66524,
3040.634,119.8914,
3039.670,116.13294,
3038.706,114.1552,
3037.742,115.92305,
3036.777,117.82291,
3035.813,116.90195,
3034.849,116.77773,
3033.885,120.43645,
3032.921,125.30078,
3031.956,130.46498,
3030.992,133.1013,
3030.028,129.44141,
3029.064,128.6642,
3028.099,133.70547,
3027.135,135.40053,
3026.171,132.02019,
3025.207,130.76913,
3024.242,133.71042,
3023.278,137.41576,
3022.314,139.85001,
3021.350,140.86589,
3020.385,141.37669,
3019.421,146.08919,
3018.457,155.77188,
3017.493,160.98412,
3016.529,161.23334,
3015.564,163.64961,
3014.600,169.34726,
3013.636,177.78111,
3012.672,186.87695,
3011.707,190.13802,
3010.743,188.38606,
3009.779,192.97591,
3008.815,202.50508,
3007.850,205.62006,
3006.886,208.0112,
3005.922,220.88008,
3004.958,236.72369,
3003.994,244.66667,
3003.029,248.20651,
3002.065,255.21758,
3001.101,264.09714,
3000.137,270.24557,
2999.172,274.95001,
2998.208,280.09686,
2997.244,285.00012,
2996.280,287.37735,
2995.315,286.83582,
2994.351,282.96732,
2993.387,278.79922,
2992.423,276.6203,
2991.458,274.06927,
2990.494,269.34531,
2989.530,265.897,
2988.566,267.48438,
2987.602,271.96002,
2986.637,280.78424,
2985.673,287.69791,
2984.709,286.4422,
2983.745,286.41068,
2982.780,290.04062,
2981.816,293.55807,
2980.852,296.19363,
2979.888,301.21652,
2978.923,310.27969,
2977.959,320.31158,
2976.995,330.05548,
2976.031,339.78033,
2975.067,348.62759,
2974.102,362.29974,
2973.138,381.26901,
2972.174,399.52408,
2971.210,417.16574,
2970.245,434.35858,
2969.281,450.46146,
2968.317,466.59738,
2967.353,482.73605,
2966.388,494.4884,
2965.424,500.95428,
2964.460,514.46863,
2963.496,537.43335,
2962.531,546.53943,
2961.567,543.26862,
2960.603,547.72198,
2959.639,557.65063,
2958.675,559.50354,
2957.710,552.2514,
2956.746,543.79767,
2955.782,535.32434,
2954.818,526.13098,
2953.853,517.85065,
2952.889,507.25574,
2951.925,494.61731,
2950.961,488.53061,
2949.996,483.25287,
2949.032,474.96094,
2948.068,466.52487,
2947.104,461.05469,
2946.140,457.48816,
2945.175,450.79022,
2944.211,442.19061,
2943.247,442.35104,
2942.283,449.12851,
2941.318,446.48465,
2940.354,441.11276,
2939.390,445.13464,
2938.426,450.3815,
2937.461,446.25247,
2936.497,438.42175,
2935.533,438.22293,
2934.569,443.65027,
2933.604,445.40262,
2932.640,444.10977,
2931.676,446.68137,
2930.712,451.3591,
2929.748,449.41888,
2928.783,446.12592,
2927.819,448.46341,
2926.855,452.79388,
2925.891,455.32162,
2924.926,455.92136,
2923.962,454.99103,
2922.998,453.3909,
2922.034,452.46106,
2921.069,450.86444,
2920.105,444.65155,
2919.141,436.50586,
2918.177,429.64166,
2917.213,421.2832,
2916.248,410.68527,
2915.284,399.85742,
2914.320,390.47473,
2913.356,384.31238,
2912.391,383.23764,
2911.427,383.26108,
2910.463,377.87408,
2909.499,372.29871,
2908.534,372.89258,
2907.570,376.27383,
2906.606,379.30377,
2905.642,381.67746,
2904.677,381.79636,
2903.713,381.87552,
2902.749,384.70496,
2901.785,388.70599,
2900.821,391.21811,
2899.856,393.27643,
2898.892,397.63074,
2897.928,400.85846,
2896.964,395.60013,
2895.999,390.29074,
2895.035,393.15808,
2894.071,393.14935,
2893.107,384.76523,
2892.142,376.46173,
2891.178,372.29324,
2890.214,366.52448,
2889.250,356.07254,
2888.286,347.13644,
2887.321,344.01874,
2886.357,344.04245,
2885.393,345.83307,
2884.429,347.63541,
2883.464,348.59558,
2882.500,352.17709,
2881.536,359.84311,
2880.572,367.04688,
2879.607,370.59738,
2878.643,368.70145,
2877.679,358.91183,
2876.715,345.03699,
2875.750,329.93387,
2874.786,313.30234,
2873.822,295.18073,
2872.858,282.02332,
2871.894,278.01355,
2870.929,270.87955,
2869.965,256.57123,
2869.001,244.07278,
2868.037,239.08685,
2867.072,239.09883,
2866.108,241.30704,
2865.144,240.89218,
2864.180,233.0694,
2863.215,226.2095,
2862.251,224.65599,
2861.287,225.43736,
2860.323,228.56549,
2859.359,234.02734,
2858.394,242.20964,
2857.430,245.65469,
2856.466,238.84544,
2855.502,232.31081,
2854.537,234.74896,
2853.573,240.40639,
2852.609,246.20131,
2851.645,251.06888,
2850.680,253.0013,
2849.716,255.82227,
2848.752,261.53464,
2847.788,262.32825,
2846.823,254.16263,
2845.859,245.23308,
2844.895,241.76106,
2843.931,237.90482,
2842.967,229.91055,
2842.002,218.77682,
2841.038,201.89192,
2840.074,184.17682,
2839.110,171.02071,
2838.145,155.25729,
2837.181,134.13008,
2836.217,118.4888,
2835.253,113.5056,
2834.288,111.71432,
2833.324,107.27331,
2832.360,100.00273,
2831.396,89.406898,
2830.431,80.195313,
2829.467,76.555733,
2828.503,74.738541,
2827.539,72.010414,
2826.575,71.352997,
2825.610,75.633858,
2824.646,76.090363,
2823.682,67.617836,
2822.718,59.743752,
2821.753,59.766148,
2820.789,62.416275,
2819.825,62.610806,
2818.861,61.45612,
2817.896,59.017708,
2816.932,57.079556,
2815.968,58.540886,
2815.004,61.10091,
2814.040,63.764194,
2813.075,63.946095,
2812.111,58.67448,
2811.147,54.786198,
2810.183,58.488804,
2809.218,61.869793,
2808.254,57.941666,
2807.290,55.143101,
2806.326,56.892708,
2805.361,58.563282,
2804.397,58.183723,
2803.433,56.535416,
2802.469,54.790363,
2801.504,55.408985,
2800.540,58.729557,
2799.576,59.261196,
2798.612,52.987629,
2797.648,45.178905,
2796.683,41.122787,
2795.719,39.748699,
2794.755,44.947655,
2793.791,52.889061,
2792.826,59.105858,
2791.862,62.389973,
2790.898,57.386066,
2789.934,49.851303,
2788.969,46.151821,
2788.005,47.311329,
2787.041,53.101563,
2786.077,59.533073,
2785.113,59.900913,
2784.148,56.643749,
2783.184,54.846355,
2782.220,52.835808,
2781.256,49.098827,
2780.291,47.93737,
2779.327,56.596615,
2778.363,65.457939,
2777.399,62.122395,
2776.434,51.365105,
2775.470,42.792187,
2774.506,38.770054,
2773.542,41.820572,
2772.577,48.909115,
2771.613,50.345314,
2770.649,48.164322,
2769.685,43.857033,
2768.721,38.955338,
2767.756,38.584896,
2766.792,41.404167,
2765.828,46.045834,
2764.864,49.453907,
2763.899,44.914452,
2762.935,35.141148,
2761.971,34.158592,
2761.007,41.283985,
2760.042,40.531639,
2759.078,33.097267,
2758.114,37.539192,
2757.150,48.235806,
2756.186,47.857681,
2755.221,42.933723,
2754.257,41.95612,
2753.293,43.437759,
2752.329,41.003517,
2751.364,35.225132,
2750.400,33.449871,
2749.436,35.546093,
2748.472,32.434116,
2747.507,23.85573,
2746.543,23.615496,
2745.579,31.802734,
2744.615,38.297134,
2743.650,42.837631,
2742.686,44.845573,
2741.722,44.378647,
2740.758,44.103775,
2739.794,44.438801,
2738.829,42.716927,
2737.865,39.462502,
2736.901,38.90065,
2735.937,41.848179,
2734.972,40.327084,
2734.008,31.693621,
2733.044,29.097527,
2732.080,36.197136,
2731.115,40.506119,
2730.151,36.945313,
2729.187,34.381248,
2728.223,36.641926,
2727.259,37.362629,
2726.294,33.58242,
2725.330,31.009245,
2724.366,33.091797,
2723.402,34.74987,
2722.437,33.540756,
2721.473,32.372135,
2720.509,32.834896,
2719.545,34.488281,
2718.580,36.473698,
2717.616,36.41758,
2716.652,32.277996,
2715.688,27.694921,
2714.723,27.49297,
2713.759,28.832031,
2712.795,29.93177,
2711.831,30.271223,
2710.867,29.479818,
2709.902,27.760416,
2708.938,23.717188,
2707.974,19.94388,
2707.010,20.080208,
2706.045,21.920572,
2705.081,20.967318,
2704.117,18.678646,
2703.153,18.136719,
2702.188,16.673958,
2701.224,16.308332,
2700.260,19.096485,
2699.296,17.509636,
2698.332,15.382552,
2697.367,18.039845,
2696.403,21.231901,
2695.439,21.950911,
2694.475,21.532162,
2693.510,19.884245,
2692.546,16.433332,
2691.582,13.346484,
2690.618,11.705209,
2689.653,13.777735,
2688.689,20.167839,
2687.725,24.401823,
2686.761,25.489323,
2685.796,24.257421,
2684.832,22.337629,
2683.868,19.492058,
2682.904,15.667188,
2681.940,13.427734,
2680.975,13.869532,
2680.011,15.967838,
2679.047,19.206511,
2678.083,18.415104,
2677.118,11.253125,
2676.154,9.5644531,
2675.190,16.043751,
2674.226,19.655859,
2673.261,17.844921,
2672.297,15.927343,
2671.333,17.029688,
2670.369,18.922525,
2669.405,18.770182,
2668.440,17.859636,
2667.476,18.564453,
2666.512,19.24427,
2665.548,18.270834,
2664.583,17.683332,
2663.619,17.854036,
2662.655,17.79336,
2661.691,17.440235,
2660.726,16.594011,
2659.762,15.541016,
2658.798,15.401302,
2657.834,17.017448,
2656.869,18.658073,
2655.905,18.930729,
2654.941,20.070051,
2653.977,23.307161,
2653.013,27.446484,
2652.048,26.838673,
2651.084,23.220312,
2650.120,22.622526,
2649.156,24.228516,
2648.191,24.808464,
2647.227,23.858204,
2646.263,22.140495,
2645.299,20.005859,
2644.334,18.191015,
2643.370,17.371744,
2642.406,18.705339,
2641.442,22.521355,
2640.478,22.938932,
2639.513,18.702213,
2638.549,19.403126,
2637.585,26.058855,
2636.621,28.284245,
2635.656,23.165365,
2634.692,20.475521,
2633.728,25.14922,
2632.764,31.247526,
2631.799,34.276955,
2630.835,36.078514,
2629.871,36.092968,
2628.907,33.725262,
2627.942,31.055208,
2626.978,28.434244,
2626.014,24.75013,
2625.050,23.566015,
2624.086,28.701693,
2623.121,35.25716,
2622.157,36.580467,
2621.193,34.632683,
2620.229,32.557941,
2619.264,31.259504,
2618.300,35.211197,
2617.336,41.157421,
2616.372,40.917316,
2615.407,36.86784,
2614.443,31.37487,
2613.479,26.645182,
2612.515,26.128906,
2611.551,29.494402,
2610.586,35.275913,
2609.622,40.774349,
2608.658,38.815235,
2607.694,29.948568,
2606.729,28.809896,
2605.765,36.85677,
2604.801,39.016796,
2603.837,34.520573,
2602.872,31.723047,
2601.908,31.741537,
2600.944,32.460415,
2599.980,33.118099,
2599.015,32.671223,
2598.051,30.310026,
2597.087,26.873959,
2596.123,22.656511,
2595.159,19.994011,
2594.194,22.35638,
2593.230,24.584375,
2592.266,21.877735,
2591.302,18.230078,
2590.337,16.780079,
2589.373,16.673437,
2588.409,16.498438,
2587.445,17.052734,
2586.480,20.206902,
2585.516,24.716667,
2584.552,26.999739,
2583.588,27.474871,
2582.624,28.023699,
2581.659,28.372526,
2580.695,26.897266,
2579.731,24.270573,
2578.767,19.41888,
2577.802,13.229688,
2576.838,14.015885,
2575.874,20.657162,
2574.910,21.939062,
2573.945,15.538671,
2572.981,12.344662,
2572.017,16.330078,
2571.053,17.808073,
2570.088,12.427474,
2569.124,9.6746092,
2568.160,13.419662,
2567.196,14.890625,
2566.232,11.064713,
2565.267,8.5626307,
2564.303,10.440104,
2563.339,13.090364,
2562.375,14.555599,
2561.410,14.969141,
2560.446,11.005339,
2559.482,5.8789063,
2558.518,8.896615,
2557.553,13.008854,
2556.589,6.7992187,
2555.625,-1.163802,
2554.661,0.15039063,
2553.697,5.773828,
2552.732,10.638412,
2551.768,13.557292,
2550.804,12.04375,
2549.840,7.8970051,
2548.875,9.8091145,
2547.911,17.927734,
2546.947,20.225521,
2545.983,14.52513,
2545.018,11.920963,
2544.054,14.703776,
2543.090,18.185677,
2542.126,21.470833,
2541.161,20.859766,
2540.197,14.23112,
2539.233,5.6759114,
2538.269,-0.95039064,
2537.305,-3.7667968,
2536.340,0.20911458,
2535.376,6.5272136,
2534.412,10.354167,
2533.448,13.711849,
2532.483,14.344531,
2531.519,12.222136,
2530.555,7.5425782,
2529.591,1.5800781,
2528.626,-2.3513021,
2527.662,-2.6070313,
2526.698,0.71067709,
2525.734,5.8967447,
2524.770,10.902474,
2523.805,14.392969,
2522.841,13.701172,
2521.877,9.7406254,
2520.913,7.2858071,
2519.948,6.6467447,
2518.984,7.6225262,
2518.020,9.0809898,
2517.056,9.4449215,
2516.091,8.9851561,
2515.127,8.6113281,
2514.163,9.1563807,
2513.199,9.9102869,
2512.234,8.4824219,
2511.270,5.7699218,
2510.306,4.5872397,
2509.342,3.3949218,
2508.378,2.6067708,
2507.413,3.6260417,
2506.449,5.9395833,
2505.485,8.661068,
2504.521,10.797396,
2503.556,10.245703,
2502.592,3.9063802,
2501.628,-4.9067707,
2500.664,-7.0411458,
2499.699,-2.9425781,
2498.735,-1.6179688,
2497.771,-3.4705729,
2496.807,-5.5446615,
2495.842,-7.9250002,
2494.878,-3.0643229,
2493.914,9.0821619,
2492.950,14.717578,
2491.986,10.521093,
2491.021,5.8908854,
2490.057,6.0326824,
2489.093,6.3476563,
2488.129,3.407552,
2487.164,-1.5639323,
2486.200,-8.3777342,
2485.236,-13.684375,
2484.272,-8.6165361,
2483.307,-0.30156249,
2482.343,-1.0554688,
2481.379,-5.1108074,
2480.415,-5.4233074,
2479.451,-2.4358072,
2478.486,2.1061199,
2477.522,6.5790362,
2476.558,7.6298175,
2475.594,4.9447918,
2474.629,1.3707031,
2473.665,-2.3371093,
2472.701,-5.586328,
2471.737,-8.9813805,
2470.772,-7.3752604,
2469.808,1.0635417,
2468.844,6.4710937,
2467.880,5.1024737,
2466.915,1.3595052,
2465.951,-1.7505208,
2464.987,-3.8109374,
2464.023,-4.3416667,
2463.059,-4.0432291,
2462.094,-2.4626303,
2461.130,-0.09791667,
2460.166,-1.1436198,
2459.202,-3.7993491,
2458.237,-1.8022135,
2457.273,1.8359375,
2456.309,2.633203,
2455.345,0.98333335,
2454.380,-3.7290366,
2453.416,-10.358854,
2452.452,-13.523046,
2451.488,-11.320182,
2450.524,-9.197917,
2449.559,-9.3475256,
2448.595,-7.1557293,
2447.631,-1.0153645,
2446.667,3.1884115,
2445.702,2.5058594,
2444.738,0.96315104,
2443.774,1.1214844,
2442.810,1.8229166,
2441.845,0.90312499,
2440.881,-1.1407552,
2439.917,-1.7998698,
2438.953,-0.60338539,
2437.988,1.3061198,
2437.024,3.2731771,
2436.060,4.4967446,
2435.096,5.465755,
2434.132,8.271615,
2433.167,12.360156,
2432.203,15.304167,
2431.239,17.320963,
2430.275,14.402604,
2429.310,5.7424479,
2428.346,1.6578125,
2427.382,8.3222656,
2426.418,13.542188,
2425.453,7.7037759,
2424.489,1.6570313,
2423.525,5.7234373,
2422.561,12.140885,
2421.597,11.519401,
2420.632,7.2890625,
2419.668,2.2472656,
2418.704,-1.7316406,
2417.740,-0.80403644,
2416.775,3.6148438,
2415.811,5.2654948,
2414.847,2.7138021,
2413.883,0.89505208,
2412.918,1.5096354,
2411.954,1.3570312,
2410.990,-0.171875,
2410.026,0.50885415,
2409.061,4.0555987,
2408.097,6.0458331,
2407.133,4.754427,
2406.169,3.8585937,
2405.205,6.002604,
2404.240,8.4295568,
2403.276,8.06849,
2402.312,6.015625,
2401.348,2.4760416,
2400.383,-2.0910156,
2399.419,-2.3585937,
2398.455,-0.515625,
2397.491,-0.41145834,
2396.526,0.24309896,
2395.562,-1.2630209,
2394.598,-4.2795572,
2393.634,-2.5894532,
2392.670,3.0660157,
2391.705,3.8516927,
2390.741,-3.0990884,
2389.777,-8.5282555,
2388.813,-6.4289064,
2387.848,-3.6572917,
2386.884,-5.257422,
2385.920,-6.6084638,
2384.956,-3.2170572,
2383.991,1.4945313,
2383.027,3.5291667,
2382.063,2.9884114,
2381.099,0.84765625,
2380.134,-1.1964843,
2379.170,-2.4095051,
2378.206,-2.9291666,
2377.242,-2.1033854,
2376.278,0.17682292,
2375.313,0.921875,
2374.349,-0.92239583,
2373.385,-0.74309897,
2372.421,2.4981771,
2371.456,5.4415364,
2370.492,8.4100256,
2369.528,9.3292971,
2368.564,5.4695311,
2367.599,0.21979167,
2366.635,-2.3932292,
2365.671,-2.6109376,
2364.707,-1.9240886,
2363.743,-1.8238281,
2362.778,-3.1412761,
2361.814,-4.3244791,
2360.850,-2.3328125,
2359.886,2.758724,
2358.921,5.1687498,
2357.957,3.9891927,
2356.993,1.9967448,
2356.029,1.2108073,
2355.064,0.87760419,
2354.100,-0.86106771,
2353.136,-3.5743489,
2352.172,-3.9768229,
2351.207,-1.3826823,
2350.243,1.8270833,
2349.279,5.4039063,
2348.315,10.435938,
2347.351,14.655599,
2346.386,11.732422,
2345.422,6.0449219,
2344.458,-0.26679689,
2343.494,-6.708724,
2342.529,-6.7365885,
2341.565,0.2563802,
2340.601,4.4361978,
2339.637,0.28645834,
2338.672,-4.4049478,
2337.708,-4.1917968,
2336.744,-3.4282553,
2335.780,-5.1104169,
2334.816,-7.4223957,
2333.851,-7.8678384,
2332.887,-7.3562498,
2331.923,-7.638021,
2330.959,-6.7492189,
2329.994,-1.0320313,
2329.030,5.7072916,
2328.066,3.3947916,
2327.102,-7.0057292,
2326.137,-10,
2325.173,-1.5015625,
2324.209,2.4942708,
2323.245,-3.883724,
2322.280,-7.4256511,
2321.316,-3.0884116,
2320.352,0.10338542,
2319.388,-2.1165364,
2318.424,-3.6678386,
2317.459,0.47864583,
2316.495,5.526823,
2315.531,5.5335937,
2314.567,2.8196614,
2313.602,-0.30338541,
2312.638,-5.3015623,
2311.674,-10.617839,
2310.710,-15.623178,
2309.745,-15.03737,
2308.781,-5.8234377,
2307.817,2.3217447,
2306.853,3.6968751,
2305.889,2.4270833,
2304.924,2.5960937,
2303.960,3.146224,
2302.996,2.5046875,
